_id,year_month,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
1,201803,412 Youth Zone,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,roof-daytime|miscl-showers,"unaccompanied youth, youth aging out of foster care, and unstably housed youth","must be 16 - 24; and after first visit, become a member for subsequent visits (at no cost)",412-902-4068,"New hang-out Downtown with a leisure space, kitchen, showers, laundry, computer access, art studio, and more. Lockers and locks provided for belongings. Food available throughout the day as needed, with dinners at 4 p.m. Mon-Fri. Staff available to help connect to programs on housing, training and employment, and legal and health issues.",Mon - Thurs: 11am - 7pm; Fri:   11am - 5pm; Sat:  11am - 3pm,
2,201803,Dinner (& food anytime as needed) - 412 Youth Zone,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,meals,"unaccompanied youth, youth aging out of foster care, unstably housed youth","must be 16 - 24; and after first visit, become a member for subsequent visits (at no cost)",,Dinners weekdays at 4pm;  food available throughout day as needed.,Mon - Thurs: 11am - 7pm (Dinner at 4); Fri:   11am - 5pm (Dinner at 4); Sat:  11am - 3pm,
3,201803,412 Youth Zone - Physician's Assistant/Registered Nurse/Nurse Practitioner Hours,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,clinic,,must be 16 - 24,412-902-4068,"A UPMC physician's assistant, registered nurse, or certified nurse practitioner will be on hand for medical checkups and physical exams.",Mon - Fri: noon - 4pm,Hours changed on date: 2018/03/23. Hours are: noon - 2pm; Hours changed on date: 2018/03/30. Hours are: noon - 2pm; 
4,201803,412 Youth Zone Dental Clinic - Wed. March 7 ONE DAY ONLY,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,clinic,all youth engaged with the 412 Youth Zone,ages 16 - 24,412-902-4068,"Students from Pitt's Dental Program will discuss oral hygiene, dental cleanings, and help with referrals.","Wed, 3/7: 1pm - 3pm",
5,201803,Veterans Place,Veterans Place of Washington Blvd,Larimer,"945 Washington Blvd, PA, 15206",40.461178,-79.906674,Veterans Place,roof-daytime,,DD214 or Military ID required for services,412-363-0500,"Veterans Place is not just a great place to hang out, but a way to connect to a whole range of services:  VA credentials, employment, life skills, legal assistance, drug and alcohol programs, and counseling.  Daytime shelter with breakfast and lunch served to homeless or at-risk-of-homeless veterans, food pantry.   Transportation support for medical appointments and to reach other community resources.  Morning shuttle from downtown shelters, CALL AHEAD  for van pick up 412-320-5566",Mon - Fri:  8am - 3pm,
6,201803,"Meals, Pantry, Laundry - Veterans Place",Veterans Place of Washington Blvd,Larimer,"945 Washington Blvd, PA, 15206",40.461178,-79.906674,Veterans Place,meals|miscl-supplies,Veterans,for Vets only,412-363-0500,Great hangout space with breakfast at 8am - 9am weekdays and lunch at 11:30am - noon.  Food pantry on Fridays from 2pm - 3pm.  Food also available at other times on emergency basis.  Veterans Place can also connect you to a wide range of services (see info under Daytime Roof).,Mon - Fri:   8am - 9am breakfast; Mon - Fri:   11:30 - noon lunch; Mon only 1:30pm - 2:30pm - Food Pantry,
7,201803,Van to Veteran's Place,Veterans Place of Washington Blvd,Larimer,"945 Washington Blvd, PA, 15206",40.461178,-79.906674,Veterans Place,roof-daytime,Veterans,DD214 or Military ID,412-363-0500 X214,"Call van driver (412-320-5566) ahead for morning pick-up. Leaves at 6:30am and makes route to Shepherd's Heart, Light of Life, Pleasant Valley Shelter, East End Cooperative Ministry and Resolve (Homewood).   Van leaves Veteran's Place at 3 pm and drives to shelters.",,
8,201803,"Bethlehem Haven Clinic - Tues, Thurs",Bethlehem Haven,Uptown,"1410 Fifth Avenue, PA, 15219",40.438492,-79.991489,Primary Health Care Services,clinic,Medical care and addiction referral services for those experiencing homelessness or lack of stable housing,"None:  just walk in!  Or, call ahead for an appointment.",412-244-4775,"Provides stop gap medical (not a replacement for a primary care physician, not an emergency room).    For prescriptions or physical exams, MD available on certain Tuesdays (call ahead); RN on Thursdays.  Also on Thursdays, a social worker can arrange documentation for Medicaid and fast-track SOAR disability status.  Clinic can provide for basic dental care and eyeglasses (one pair per year) at outside location.  STD/HepC/HIV screening and free flu shots.  Also provides physicals for drug and alcohol programs.",Tues:   6pm - 9pm; Thurs:  9am - 5pm; DENTAL also Thursday 10am - 1pm,
9,201803,East Liberty Family Health Care - Wed,East Liberty Family Health Care Center,East Liberty,"6023 Harvard St, PA, 15206",40.462856,-79.923163,Primary Health Care Services,clinic,those experiencing homelessness or lack of stable housing,None:  just walk in!  (call ahead for psychiatrist availability),412-244-4775,"Provides stop gap medical (not a replacement for a primary care physician, not an emergency room).  Can provide for mental health care (call ahead for psychiatrist availability).  A social worker can arrange documentation for Medicaid and fast-track SOAR disability status.  Center can provide for basic dental care and eyeglasses (one pair per year) at outside location.  STD/HepC/HIV screening and free flu shots.  Also provides physicals for drug and alcohol programs.  Can help with a \week or two\"" of inpatient addiction counseling, as needed.""",Wed:  1pm - 4pm,
10,201803,"Pleasant Valley Shelter Clinic - Mon, Wed, Fri",Pleasant Valley Shelter Clinic,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,Primary Health Care Services,clinic,General medical care for those experiencing homelessness or lack of stable housing,None:  just walk in! (MD on Wed afternoon only),412-244-4775,"Provides stop gap medical (not a replacement for a primary care physician, not an emergency room).    For prescriptions or physical exams, MD available on Wed afternoons; RN on Mon, Wed, Fri.  A social worker can arrange documentation for Medicaid and fast-track SOAR disability status.  Clinic can provide for basic dental care and eyeglasses (one pair per year) at outside location.  STD/HepC/HIV screening and free flu shots.  Also provides physicals for drug and alcohol programs.",Mon:  9:30am - Noon  (MD:  1pm - 3pm); Wed:  9:30am - Noon; Fri:     9:30am - Noon,
