_id,year_month,safe_place_name,program_or_facility,neighborhood,address,latitude,longitude,organization,recommended_for,requirements,phone,narrative,schedule
1,201803,Domestic Violence Hotline/Pgh Women's Center,Women's Center and Shelter of Greater Pittsburgh,Unknown,,,,Women's Center and Shelter of Pittsburgh,victims of domestic violence,none,412-687-8005,"Hotline offers emotional support, and connections to emergency shelter, support groups, safety  planning and legal options.",Answers 24/7
2,201803,re:solve Crisis Network,re:solve Crisis Network,North Point Breeze,"333 N Braddock Ave, PA, 15208",40.449527,-79.893775,UPMC WPIC,anyone experiencing a mental health crisis,none; walk-ins welcome; mobile trained counselors can come to you,1-888-796-8226,RE:SOLVE CRISIS NETWORK has mental health professionals 24/7 to help.  Same day confidential assessment. Temporary stay-overs possible based on diagnosis.,Available 24/7
3,201803,SUN - EAST LIBERTY Needle Exchange,Allies for Health & Well Being (Pgh Aids Task Force)- HIV/STI/Hepatitis C Testing/PrEP Evaluation - Pittsburgh Aids Task Force,East Liberty,"5913 Penn Avenue, PA, 15206",40.46198,-79.926207,Allies for Health & Well Being (new name for Pittsburgh Aids Task Force (PATF),"all; this is a safe, non-judgmental outreach service",none,412-247-3404,"Prevention Point Pittsurgh is the only legal, County-approved needle exchange program in SW PA.  Can provide counseling on drug treatment and connections to social services, overdose prevention and response education (with Narcan presription).",Sun:  noon - 3pm
4,201803,Persad Tues/Thurs Safe Spaces,Persad Center,Lawrenceville,"5301 Butler St, STE 100, PA, 15201",40.48183,-79.953257,Persad Center,LGBTQIA youth 21 and under,none,412-441-9786,"Welcoming hang-out for young LGBTQIA, with computers, workshops, counseling.  Laundry and shower available.",Tues/Thurs:  3pm - 7:30pm
5,201803,Pittsburgh Mercy Behavioral Health Crisis Center,Mercy Behavioral Health,South Side,"264 South 9th St, PA, 15203",40.430784,-79.990092,Pittsburgh Mercy Health System,anyone experiencing a mental health crisis,"none, walk-ins welcome",1-877-637-2924,MERCY BEHAVIORAL HEALTH CRISIS CENTER has mental health professionals 24/7 to help.  Same day confidential assessment. Temporary stay-overs can help avoid hospitalization.,Available 24/7
6,201803,Jeremiah's Place,Jeremiah's Place,Larimer,"6435 Frankstown Ave, PA, 15206",40.461736,-79.915403,Jeremiah's Place,families in crisis needing temporary safe haven for childen,none,412-924-0726,"Offers free, safe care for children from birth to six, for a few hours or a few days.  For families in crisis or experiencing an emergency situation, or for children at risk of child abuse.",Available 24/7
7,201803,Rape Hotline,Pittsburgh Action Against Rape,South Side,"81 SOUTH 19TH STREET, PA, 15203",40.429181,-79.978892,PAAR,"for those in crisis, or those requesting information",none,1-866-363-7273,"PITTSBURGH ACTION AGAINST RAPE  - 24/7 free, confidential Hotline for victims of sexual assault, including emergency medical and legal accompaniment.",available 24/7
8,201803,TUES - PERRY HILLTOP Needle Exchange,Perry Hilltop Prevention Point Pittsburgh,Perry Hilltop,"N Charles St and Perrysville Ave, PA, 15212",40.471094,-80.008523,Prevention Point Pittsburgh,"all; this is a safe, non-judgmental outreach service",none,412-247-3404,"Prevention Point Pittsurgh is the only legal, County-approved needle exchange program in SW PA.  Can provide counseling on drug treatment and connections to social services, overdose prevention and response education (with Narcan presription).",Tues:  1pm - 3pm
9,201803,WED - HILL DISTRICT Needle Exchange,Hill District Prevention Point Pittsburgh,Hill District,"Bentley Dr and Kirkpatrick St, PA, 15219",40.440879,-79.974123,Prevention Point Pittsburgh,"all; this is a safe, non-judgmental outreach service",none,412-247-3404,"Prevention Point Pittsurgh is the only legal, County-approved needle exchange program in SW PA.  Can provide counseling on drug treatment and connections to social services, overdose prevention and response education (with Narcan presription).",Wed:  1pm - 3pm
10,201803,Living in Liberty - North Side,Living in Liberty - North Side,North Side,"816 Tripoli Street, PA, 15212",40.4568,-79.996924,Living in Liberty,Women engaged in prostitution or commercial sexual exploitation,None,412-301-5224,"Drop in Center with shower, clothes, hygiene products",Thurs:  3pm - 6pm; Dinner at 6:00pm
